19:01:28.951,220.66
19:01:28.952,220.64
19:01:28.952,220.63
19:01:28.955,220.62
19:01:28.957,220.60
19:01:28.957,220.59
19:01:28.959,220.57
19:01:28.965,220.56
19:01:28.965,220.55
19:01:28.965,220.54
19:01:28.967,220.52
19:01:28.968,220.51
19:01:28.972,220.50
19:01:28.973,220.49
19:01:28.978,220.48
19:01:28.980,220.47
19:01:28.980,220.46
19:01:28.981,220.45
19:01:28.984,220.44
19:01:28.990,220.43
19:01:28.990,220.42
19:01:28.995,220.41
19:01:28.998,220.40
19:01:28.998,220.39
19:01:28.999,220.38
19:01:28.999,220.38
19:01:29.005,220.37
19:01:29.005,220.36
19:01:29.007,220.35
19:01:29.008,220.35
19:01:29.008,220.34
19:01:29.009,220.33
19:01:29.014,220.32
19:01:29.016,220.32
19:01:29.017,220.31
19:01:29.017,220.31
19:01:29.020,220.30
19:01:29.022,220.29
19:01:29.023,220.29
19:01:29.077,220.28
19:01:29.078,220.27
19:01:29.078,220.27
19:01:29.078,220.26
19:01:29.082,220.26
19:01:29.082,220.26
19:01:29.082,220.25
19:01:29.082,220.25
19:01:29.082,220.24
19:01:29.084,220.24
19:01:29.086,220.24
19:01:29.087,220.24
19:01:29.091,220.24
19:01:29.092,220.24
19:01:29.094,220.24
19:01:29.097,220.24
19:01:29.097,220.24
19:01:29.098,220.25
19:01:29.159,220.25
19:01:29.159,220.25
19:01:29.160,220.25
19:01:29.160,220.25
19:01:29.160,220.25
19:01:29.162,220.26
19:01:29.166,220.26
19:01:29.168,220.26
19:01:29.171,220.27
19:01:29.171,220.27
19:01:29.171,220.27
19:01:29.171,220.28
19:01:29.171,220.28
19:01:29.173,220.49
19:01:29.174,220.50
19:01:29.179,220.51
19:01:29.179,220.52
19:01:29.182,220.53
19:01:29.183,220.54
19:01:29.249,220.55
19:01:29.251,220.57
19:01:29.251,220.58
19:01:29.252,220.59
19:01:29.253,220.60
19:01:29.254,220.61
19:01:29.254,220.62
19:01:29.254,220.64
19:01:29.254,220.65
19:01:29.254,220.66
19:01:29.257,221.13
19:01:29.258,221.15
19:01:29.259,221.17
19:01:29.263,221.19
19:01:29.264,221.21
19:01:29.266,221.23
19:01:29.269,221.25
19:01:29.350,221.27
19:01:29.350,221.29
19:01:29.352,221.31
19:01:29.353,221.33
19:01:29.355,221.35
19:01:29.355,221.37
19:01:29.355,221.39
19:01:29.355,221.42
19:01:29.355,221.44
19:01:29.428,222.47
19:01:29.428,222.50
19:01:29.428,222.53
